userFirstName,userLastName,userEmail,defaultPassword,repeatPassword,url
Lilia,Sandulesa,sandulesa123@mail.com,myPassword1234,myPassword1234,https://qauto2.forstudy.space/api
,Sandulesa,sandulesa123@mail.com,myPassword1234,myPassword1234,https://qauto2.forstudy.space/api
Lilia,,sandulesa123@mail.com,myPassword1234,myPassword1234,https://qauto2.forstudy.space/api
Lilia,Sandulesa,,myPassword1234,myPassword1234,https://qauto2.forstudy.space/api
Lilia,Sandulesa,sandulesa,myPassword1234,myPassword1234,https://qauto2.forstudy.space/api
Lilia,Sandulesa,sandulesa123@mail.com,,myPassword1234,https://qauto2.forstudy.space/api
Lilia,Sandulesa,sandulesa123@mail.com,my,myPassword1234,https://qauto2.forstudy.space/api
Lilia,Sandulesa,sandulesa123@mail.com,myPassword1234!@#$%,myPassword1234,https://qauto2.forstudy.space/api
Lilia,Sandulesa,sandulesa123@mail.com,1234567890,myPassword1234,https://qauto2.forstudy.space/api
Lilia,Sandulesa,sandulesa123@mail.com,myPassword1234,1234myPassword,https://qauto2.forstudy.space/api
